rank,feature,mean_abs_shap
1,MACCS_146,0.032302263344673315
2,MACCS_151,0.03154217053880824
3,MACCS_163,0.02231429513340391
4,MACCS_140,0.016297447590733146
5,MACCS_93,0.014513100197332242
6,MACCS_128,0.01371791173185049
7,MACCS_131,0.013501468202238236
8,MACCS_99,0.01297341823195037
9,MACCS_156,0.01218473312527867
10,MACCS_136,0.012009964231588306
11,MACCS_165,0.011810681650880431
12,MACCS_144,0.010641998729910064
13,MACCS_145,0.009912097222853234
14,MACCS_154,0.009878809265864822
15,MACCS_139,0.009531745254170228
16,MACCS_155,0.009068893171694393
17,MACCS_123,0.008944701804879253
18,MACCS_95,0.008940297856028264
19,MACCS_132,0.00874487395523512
20,MACCS_157,0.00874267235111873
