rank,feature,mean_abs_shap
1,Morgan_356,0.05958124264958275
2,Morgan_694,0.036589392803398534
3,Morgan_456,0.023127251361405587
4,Morgan_200,0.01937154244713961
5,Morgan_721,0.019010626812487202
6,Morgan_10,0.01796641989418317
7,Morgan_540,0.017250673932149966
8,Morgan_222,0.017057526865988916
9,Morgan_367,0.016159137026817642
10,Morgan_90,0.016087755234850454
11,Morgan_314,0.015826243535221156
12,Morgan_893,0.015459985581671247
13,Morgan_695,0.015258815709723013
14,Morgan_578,0.014738085686387908
15,Morgan_128,0.014249546728340152
16,Morgan_33,0.013940202790706157
17,Morgan_119,0.013883081954796973
18,Morgan_887,0.01350216352310332
19,Morgan_80,0.013264466681190842
20,Morgan_659,0.012920816370913331
