rank,feature,mean_abs_shap
1,nAtomP,0.05519232119584531
2,TPSA,0.050306668763695425
3,bpol,0.047035623271167594
4,XLogP,0.036933090908798885
5,nHBDon,0.031833692640389336
6,ALogP,0.031590926960020915
7,MLogP,0.027422971040703313
8,HallKierAlpha,0.02684776867841377
9,FractionCSP3,0.025074468112697177
10,Num H Acceptors,0.02366060902317566
11,Chi3v,0.020580033057963944
12,nHBAcc,0.018897320166335125
13,TopoPSA,0.018580213899357337
14,naAromAtom,0.01685722046630133
15,Chi4v,0.016366045880270765
16,logP,0.016314837222507397
17,ECCEN,0.015549742083162588
18,NumRotatableBonds,0.014294763072892031
19,LabuteASA,0.013757656701427846
20,Chi1n,0.01364709711970599
